/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_33.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_34.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_35.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_36.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_37.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_38.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_39.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_40.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_41.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_42.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_43.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_44.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_45.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_46.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_47.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_48.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_49.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_50.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_51.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_52.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_53.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_54.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_55.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_56.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_57.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_58.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_59.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_60.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_61.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_62.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_63.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_64.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_65.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_66.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_67.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_68.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_69.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_70.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_71.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_72.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_73.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_74.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_75.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_76.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_77.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_78.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_79.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_80.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_81.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_82.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_83.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_84.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_85.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_86.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_87.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_88.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_89.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_90.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_91.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_92.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_93.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_94.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_95.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_96.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_97.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_98.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_99.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_100.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_101.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_102.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_103.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
